name,ring,quadrant,isNew,description
EsLint,adopt,tools,TRUE,
Sentry,adopt,tools,TRUE,"<a href=""https://sentry.io/welcome/"">Sentry</a> is an error monitoring solution. "
Zally,adopt,tools,TRUE,"<a href=""https://github.com/zalando/zally"">Zally</a> is a minimalistic (REST) API linter that in it's standard configuration lint againts the <a href=""http://zalando.github.io/restful-api-guidelines/"">Zalando's RESTful guidelines</a>. Zally's easy-to-use CLI uses the server in the background so that you can check your API on the spot. It also features an intuitive Web UI that shows implemented rules and lints external files and (with its online editor) API definitions."
Selenium,adopt,tools,TRUE,"<a href=""https://www.seleniumhq.org/"">Selenium</a> is a well supported standard for browser automation. Our cloud based browser test runner BrowserStack also relies on Selenium."
OpenAPI,adopt,tools,TRUE,"The <a href=""https://github.com/OAI/OpenAPI-Specification"">OpenAPI Specification</a> (formerly known as Swagger) is a community-driven open specification within the OpenAPI Initiative, a Linux Foundation Collaborative Project.

The OpenAPI Specification (OAS) defines a standard, programming language-agnostic interface description for REST APIs, which allows both humans and computers to discover and understand the capabilities of a service without requiring access to source code, additional documentation, or inspection of network traffic. When properly defined via OpenAPI, a consumer can understand and interact with the remote service with a minimal amount of implementation logic. Similar to what interface descriptions have done for lower-level programming, the OpenAPI Specification removes guesswork in calling a service."
BrowserStack,trial,tools,TRUE,"Browserstack has been introduced in 2017 to support IE browser tests and we only have one account right now, nobody feels responsible right now so this has been escalated to higher places to decide how to continue, which would include providing the teams with sufficient accounts to support their testing efforts."
DataDog,trial,tools,TRUE,"<a href=""https://www.datadoghq.com"">Datadog</a> is a managed monitoring solution, that can increase our observability capabilities with little engineering effort on our side. Tools like DataDog give the operational insight required for teams being able to run their own services. Our initial trial was successful without much hassle and teams liked the ease of use."
OpsGenie,trial,tools,TRUE,"<a href=""https://www.opsgenie.com/"">OpsGenie</a> is a modern incident management tool, that routes and consolidates alerts. On-call schedules, escalation strategies and means to alert can be defined."
pivio.io,assess,tools,TRUE,"<i><a href=""https://pivio.io"">pivio.io</a> is description in your source code with all the metadata of your service describing itself. This can be as simple as the name, owner and vcs information as well as useful information about runtime environment, used licenses and service dependencies.
Pivio is a service registry for humans.</i>"
Ranorex,hold,tools,TRUE,"<a href=""https://www.ranorex.com/"">Ranorex</a> is an UI test automation tool that is used by some teams. As its propriarity tool and the automation is done using .NET there is less of an ecosystem around it. In comparison the <a href=""https://www.seleniumhq.org/ecosystem/"">selenium ecosystem</a> lists alone 5 cloud based test runners. Teams should strongly consider Selenium based test automation, but there is currently no need to migrate existing tests away from Ranorex."
A single CI instance for all teams,hold,tools,TRUE,"A single CI instance and its configuration becomes a bottleneck and couples teams to a shared service. We want to rather support teams to own their CI. See also the <a href=""https://www.thoughtworks.com/radar/techniques/a-single-ci-instance-for-all-teams"">blip from TW</a>"
Self-hosted ELK,hold,tools,TRUE,We want to avoid the undifferentiated heavy lifting of operating our own logging and monitoring infrastructure and rather aim for a managed solution like DataDog.
Sonar theater,hold,tools,TRUE,"Measuring software internal quality is still a mystery, even though many source code metrics have been around for years. The problem with those metrics is they usually only capture one aspect of quality. We must consult many metrics to come to a conclusion about the overall quality of our code. Sonar is an integrated tool for checking, tracking and visualizing those metrics. It not only combines metrics together, but also mixes them with historical measures, giving us a better insight into the internal quality of the codebase. We, however, have seen mostly isses found and coverd which are not very important and code quality does not increase when code is written to just ""make sonar happy"". As a result we see unit tests for gettes/setters and similar methods for Java. It is significantly better to use a programming language which supports default implementations (e.g Kotlin or C#)."
Node.js,adopt,languages & frameworks,TRUE,"Node is an asynchronous event driven JavaScript runtime designed to build scalable network applications. There are a ton of libraries and frameworks available to use with node through npm and, usually, the community support is top notch. Currently node is used in multiple projects within RIO and especially within the marketplace. When comparing with java/spring, the development speed and lightweightedness is appreciated by the developer."
Python 3,adopt,languages & frameworks,TRUE,
Typescript,trial,languages & frameworks,TRUE,
Kotlin for backend,trial,languages & frameworks,TRUE,"<a href=""http://kotlinlang.org/"">Kotlin</a> has experienced an accelerated rate of adoption and rapid growth of tooling support. Some of the reasons behind its popularity are its concise syntax, null safety, ease of transition from Java and interoperability with other JVM-based languages in general, and that it doubles as a great introductory language to functional programming. With JetBrains adding the ability to compile Kotlin to native binarieson multiple platforms, as well as transpile to JavaScript, we believe it has the potential of much wider use by the larger community of mobile and native application developers. Although at the time of writing, some of the tooling such as static and coverage code analysis have yet to mature, given our experience of using Kotlin in many production applications, we believe Kotlin is ready for general adoption."
Spring Boot 2,trial,languages & frameworks,TRUE,"<a href=""https://spring.io/blog/2018/03/01/spring-boot-2-0-goes-ga"">Spring Boot</a> has been the main framework used for the microservices we have seen and thus upgrade to the new major version 2 seems to be the obvious choice. There are some significant changes which are targeted to support several state of the art concepts (Reactive programming, Kotlin support, Application metrics) in current development setups."
Elixir,assess,languages & frameworks,TRUE,"Elixir is a new dynamic, functional language designed for building scalable and maintainable applications. Elixir leverages the Erlang VM, known for running low-latency, distributed and fault-tolerant systems, while also being successfully used in web development and the embedded software domain."
Lagom,assess,languages & frameworks,TRUE,"Lagom is an open source microservices framework built on top of Akka and Play. Lagom helps developers build microservices as systems — Reactive systems, to be precise — so that the resulting microservices are elastic and resilient from within. Can be used with Java, Scala or Kotlin."
RxJava,assess,languages & frameworks,TRUE,"RxJava is an implementation of ReactiveX and reactive programming. There are many use cases for this paradigm, especially in stream processing. It has also proven to be helpful in Android development."
