name,ring,quadrant,isNew,description
AxonIQ,adopt,languages & frameworks,FALSE,"<a href=""https://axoniq.io/"">AxonIQ</a> is a framework that helps to build Event Sourcing applications using CQRS architecture pattern. It integrates well with Spring, supports relational databases or MongoDB as event store and has integration for Kafka. It helps to start solving problems with Event Sourcing instead of solving Event Sourcing problems providing solution to read model reacreation, different event handling strategies within or out of the transactional boundaries of the aggregate and much more."
Blaze Persistence,trial,languages & frameworks,TRUE,"Blaze persistence makes writing advanced, complex JPA/SQL queries simpler. Its fluent API allows to easily build queries with subqueries, criteria, and projections. Its SQL-like query language and the possibility to use entity views makes it a better suited library than Spring Data JPA's abstractions. https //persistence.blazebit.com/index.html"
DependencyCruiser,trial,languages & frameworks,TRUE,"dependency-cruiser can be used to define and test the architecture of your front end application, avoid circular dependencies and identify unused modules. It is our preferred way to continuously test our architecture. It was already presented at the CoP Front end and was appreciated. However, only Team Transport Two has experience with it.https://github.com/sverweij/dependency-cruiser"
Embedded MySQL,trial,languages & frameworks,TRUE,"We are using an embedded MySql database for testing. It combines the best of two worlds - a real MySQL server, but without the extra overhead of docker. As soon as any MySQL-specific Syntax or Features are used, this avoids surprises on production (in contrast to tools like H2), or even makes it possible to test queries in the first place."
GraalVM,assess,languages & frameworks,TRUE,"<a href=""https://www.graalvm.org/"">GraalVM</a> is a high-performance JDK distribution designed to accelerate the execution of applications written in Java and other JVM languages along with support for JavaScript, Ruby, Python, and a number of other popular languages."
io-ts,adopt,languages & frameworks,TRUE,"Typescript prevents error by performing compile-time checks. Nevertheless, a lot of errors can happen during runtime, especially in SPAs when dealing with RESTFul responses. IO-Ts closes this gab by offering runtime validation for Typescript. (bearbeitet)"
JVM Native Images,assess,languages & frameworks,FALSE,"Native Image is a technology to ahead-of-time compile Java code to a standalone executable, called a native image. This executable includes the application classes, classes from its dependencies, runtime library classes, and statically linked native code from JDK. It does not run on the Java VM, but includes necessary components like memory management, thread scheduling, and so on from a different runtime system, called “Substrate VM”."
Kotlin for backend,adopt,languages & frameworks,FALSE,"<a href=""http://kotlinlang.org/"">Kotlin</a> has experienced an accelerated rate of adoption and rapid growth of tooling support. Some of the reasons behind its popularity are its concise syntax, null safety, ease of transition from Java and interoperability with other JVM-based languages in general, and that it doubles as a great introductory language to functional programming. With JetBrains adding the ability to compile Kotlin to native binarieson multiple platforms, as well as transpile to JavaScript, we believe it has the potential of much wider use by the larger community of mobile and native application developers. Although at the time of writing, some of the tooling such as static and coverage code analysis have yet to mature, given our experience of using Kotlin in many production applications, we believe Kotlin is ready for general adoption."
LocalDynamoDB,adopt,languages & frameworks,TRUE,"The LocalDynamoDB is a in-memory, sqlite based mock for the Amazon DynamoDB service. It is provided & maintained by Amazon. It allows to test DynamoDB-related code locally against the DynamoDB API, without the need for Docker or an AWS account. We consider it the standard tool at RIO for testing DynamoDB-related code. It is preferred over docker based solutions as the in memory solution is more light weight and takes less time to spin up."
projen,trial,languages & frameworks,TRUE,In team CLAID we're using it as it fits our CDK-based projects. Not sure if it's (yet) helpful for mixed language projects.
Renovate,trial,languages & frameworks,TRUE,"We do automated dependency updates using renovate via the dependency-bot account-module. This helps to prevent vulnerabilities and big ""version-jumps"". Depending on the criticality of the service and the confidence of the team we do these updates either with pull requests or fully automated."
TypeScript,adopt,languages & frameworks,FALSE,"<a href=""https://www.typescriptlang.org/"">Typescript</a> is a typed superset of JavaScript that compiles to plain JavaScript. We believe that the types (and the correspoding IDE support like autocompletion) helps us developers improving the code quality. Thus, Typescript is the recommended language when setting up a new frontend project."
